text,createTime,diggCount,shareCount,playCount,commentCount,authorMetaVerified,musicMetaMusicOriginal,videoMetaHeight,videoMetaWidth,videoMetaDuration,hashtagsName,text_len
Confidence went 📈,1608214517,3710,50,44800,68,0,0,1024,576,15,nan,17
Quiet Zone... follow me on insta: joeysofo. Comment where you wanna see me blade next. Reply to @dwight_schnuute,1600819763,55700,1817,838100,936,0,1,1024,576,11,nan,112
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,936200,21100,15300000,27100,0,0,960,540,19,"tiktok,viral,fyp,iphone,test,bend",57
nan,1607187987,12900,197,94900,143,0,1,1024,576,13,nan,3
小技です👟✨#tiktok教室#tutorial,1607843600,8805,198,115300,52,0,1,1024,576,22,"tiktok教室,tutorial",24
Great rally 😍🏐❤️ show some love in the comments for them👉❤️🏐 #volleyball #volleyballlove #volleyballworld,1605483204,343000,2846,2800000,2732,0,0,1024,576,29,"volleyball,volleyballlove,volleyballworld",105
Oh no,1605437840,227,0,62200,4,0,1,1024,576,11,nan,5
#TimeWarpScan,1602943672,4326,201,81200,354,0,1,1024,576,9,timewarpscan,13
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,734,1,8071,54,0,0,1024,576,15,"keşfet,tiktok,turkey,kadın,erkek,aldatma,seniniçin,beniöneçıkart,mizah,boys,girls,türkiye",147
#kids #parents #funny,1605182532,3874,716,95800,94,0,1,1024,576,15,"kids,parents,funny",21
Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,1607171987,2080,17,39300,19,0,0,1024,576,9,"foryou,fyp,foryoupage,fy",61
Ben hopelijk niet de enigste😭 #fyp #dutch #fy,1603368929,3275,338,65900,159,0,1,1024,576,8,"fyp,dutch,fy",45
#stitch met @charlielifefitness vandaag in deze aflevering van “hoeveel TikTok kan ik kijken totdat ik mezelf compleet haat...” #dutch #humor,1602622611,6268,26,45700,68,0,0,1024,576,10,"stitch,dutch,humor",141
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,0,1,1024,576,13,"sportplazagroenendaal,zwemmen,zwembad,glijbaan,badmeester,badjuf,werken,glijbaanchallenge",113
Lets help the bacons #roblox #hacks #exploiting #bunbungirls,1608061583,6629,92,61500,1166,0,1,1024,576,15,"roblox,hacks,exploiting,bunbungirls",60
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,0,1,1136,576,13,"dance,garrafa,horadearrasar,girl,challenge,musically,music",65
