text,createTime,diggCount,shareCount,playCount,commentCount,mentions,authorMeta.name,authorMeta.nickName,authorMeta.verified,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,videoMeta.height,videoMeta.width,videoMeta.duration,hashtags.name,hashtags.title
Confidence went 📈,1608214517,3710,50,44800,68,,ninakleij,Nina,False,Element,Pop Smoke,False,1024,576,15,,
Quiet Zone... follow me on insta: joeysofo. Comment where you wanna see me blade next. Reply to @dwight_schnuute,1600819763,55700,1817,838100,936,@dwight_schnuute,joeysofo,JoeySofo ,False,Without Me,rapidsongs ,True,1024,576,11,,
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,936200,21100,15300000,27100,,jackeyephone,JackJacko,False,Pilfingerdansen - Remix,Sigurd Barrett,False,960,540,19,tiktok,
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,936200,21100,15300000,27100,,jackeyephone,JackJacko,False,Pilfingerdansen - Remix,Sigurd Barrett,False,960,540,19,viral,
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,936200,21100,15300000,27100,,jackeyephone,JackJacko,False,Pilfingerdansen - Remix,Sigurd Barrett,False,960,540,19,fyp,
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,936200,21100,15300000,27100,,jackeyephone,JackJacko,False,Pilfingerdansen - Remix,Sigurd Barrett,False,960,540,19,iphone,
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,936200,21100,15300000,27100,,jackeyephone,JackJacko,False,Pilfingerdansen - Remix,Sigurd Barrett,False,960,540,19,test,
Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,1606228625,936200,21100,15300000,27100,,jackeyephone,JackJacko,False,Pilfingerdansen - Remix,Sigurd Barrett,False,960,540,19,bend,
,1607187987,12900,197,94900,143,,naomivaneeren,Naomi van eeren ✨,False,Justin Timberlake - Mirrors,Noah,True,1024,576,13,,
小技です👟✨#tiktok教室#tutorial,1607843600,8805,198,115300,52,,io.dreamer_mk,io. Dreamer,False,原聲,Mj.无名氏,True,1024,576,22,tiktok教室,"今回の #TikTok教室 -今年学んだ知識編-では、色々あった2020年あなたが学んだ知識を投稿しよう。
どんなジャンルの投稿でもOK！  思わず「へぇー」「知らなかった」「面白い！」となるようなエピソードを投稿しよう! 

優秀投稿者には2万円の動画制作支援金のチャンス！ 奮って応募しよう！

投稿に音声やテキストを入れるとよりわかりやすくなるかも？"
小技です👟✨#tiktok教室#tutorial,1607843600,8805,198,115300,52,,io.dreamer_mk,io. Dreamer,False,原聲,Mj.无名氏,True,1024,576,22,tutorial,#AprendeEnTikTok cómo hacer lo que sea! Muéstranos un #Tutorial que tenemos que aprender! 🙌
Great rally 😍🏐❤️ show some love in the comments for them👉❤️🏐 #volleyball #volleyballlove #volleyballworld,1605483204,343000,2846,2800000,2732,,the_volleyball_community,Volleyball community,False,Diamonds,Sam Smith,False,1024,576,29,volleyball,
